designation,ra,dec,parallax,parallax_error
Gaia DR3 4267180339403392768,286.7169128963743,0.27619460064099405,1.08492385925788,0.033430815
Gaia DR3 5252403815119316480,152.62506770596002,-64.2676994251119,0.8543564197714364,1.2827208
Gaia DR3 1937745177867542656,348.43498221430735,43.94070420401419,1.0420076403778737,0.6332887
Gaia DR3 5971301282285218048,252.7297169379439,-37.917214705062186,0.5876598325152322,0.6330921
Gaia DR3 5953201637243132416,260.6787873092191,-44.788771692779804,-0.29337562122004474,0.61988527
Gaia DR3 6125916630291830144,186.18073594312403,-50.75658998364757,0.4369403849255586,0.21614765
Gaia DR3 6018228919573319936,245.57783749796826,-39.059396866729756,2.37956349674459,0.8310782
Gaia DR3 5203483274312495872,144.84912829499405,-77.01678582702415,0.3521833849493208,0.18505904
Gaia DR3 4162615512253865856,263.4328979691271,-12.341758573647033,-0.2832362815010322,1.2478186
Gaia DR3 907389666087922816,121.1999182089666,37.85463195402686,0.5137080492081161,0.43394798
